data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,ffmc0,dmc0,dc0,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,hora_ref,precAcumulada_24h
2025-05-18,15,Praia do Ribatejo,19.9,68.0,3.8,0.0,W,1259.7,10.11,16.25,90.73,5.77,6.26,0.7,6.26,85.05,7.77,20.99,85.05,16.3,2.57,8.07,2.15,0.11,2.15,15.0,0.0
2025-05-18,16,Praia do Ribatejo,17.5,79.0,1.1,0.1,NW,915.2,11.58,17.78,89.34,4.12,4.35,0.37,4.35,,,,,,,,,,,,0.1
2025-05-18,17,Praia do Ribatejo,18.9,72.0,1.5,0.0,NW,1053.0,10.99,16.41,89.9,4.56,4.92,0.46,4.92,,,,,,,,,,,,0.1
2025-05-18,18,Praia do Ribatejo,18.5,80.0,1.2,0.8,E,987.5,10.96,24.55,89.93,4.51,4.79,0.43,4.79,,,,,,,,,,,,0.9
2025-05-18,19,Praia do Ribatejo,18.5,72.0,2.3,0.0,W,669.4,10.63,22.66,90.24,4.98,5.37,0.53,5.37,,,,,,,,,,,,0.9
2025-05-18,20,Praia do Ribatejo,16.2,75.0,1.4,0.0,W,67.0,10.77,23.9,90.11,4.67,4.96,0.46,4.96,,,,,,,,,,,,0.9
2025-05-18,21,Praia do Ribatejo,14.3,85.0,1.5,0.0,NW,0.0,11.36,25.98,89.55,4.34,4.49,0.39,4.49,,,,,,,,,,,,0.9
2025-05-18,22,Praia do Ribatejo,13.2,92.0,1.4,0.0,N,0.0,12.26,27.22,88.71,3.82,3.87,0.3,3.87,,,,,,,,,,,,0.9
2025-05-18,23,Praia do Ribatejo,12.2,95.0,0.5,0.0,SE,211.0,13.21,27.35,87.83,3.22,3.14,0.21,3.14,,,,,,,,,,,,0.9
2025-05-19,0,Praia do Ribatejo,11.1,97.0,0.7,0.0,N,540.4,14.15,42.88,86.97,2.88,2.94,0.18,2.94,,,,,,,,,,,,0.9
